year,state,district,season,crop,area_ha,perc
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Arecanut,900.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Arhar/Tur,39414.0,4.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,2241.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Cashewnut,30.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Castorseed,17022.0,2.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Cotton(lint),51850.0,5.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Cowpea(Lobia),4261.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Drychillies,3748.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,371029.0,37.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Horsegram,57548.0,6.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,23744.0,2.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Maize,14089.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Moong(GreenGram),7762.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Oilseedstotal,389377.0,39.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Onion,2168.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,1337.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Rice,18209.0,2.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Smallmillets,3064.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Soyabean,14.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Sugarcane,172.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,1286.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,Urad,28.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Kharif,otheroilseeds,26.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Arhar/Tur,44.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Bajra,29.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Castorseed,70.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Coriander,469.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Cotton(lint),113.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Cowpea(Lobia),58.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Drychillies,125.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Gram,92409.0,45.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,37601.0,18.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Horsegram,1408.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,5513.0,3.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Maize,8952.0,4.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Moong(GreenGram),130.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Oilseedstotal,39207.0,19.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Onion,1684.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,OtherRabipulses,12.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Potato,15.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,1014.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Rice,14331.0,7.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Safflower,499.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Sesamum,9.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Smallmillets,55.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Soyabean,1.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Sunflower,1027.0,1.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Sweetpotato,1.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Tobacco,2.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Urad,36.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,10.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Whole Year,Banana,15116.0,98.0
2019-20,Andhra Pradesh,ANANTAPUR,Whole Year,Blackpepper,5.0,0.0
2019-20,Andhra Pradesh,ANANTAPUR,Whole Year,Coconut,358.0,2.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Arhar/Tur,5915.0,2.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Bajra,2085.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Cashewnut,95.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Castorseed,118.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Cotton(lint),157.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Cowpea(Lobia),1052.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Drychillies,38.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Groundnut,95746.0,36.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Horsegram,25562.0,10.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Jowar,9.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Linseed,9.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Maize,2655.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Moong(GreenGram),305.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Oilseedstotal,95916.0,36.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Onion,285.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,OtherKharifpulses,1518.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Potato,383.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Ragi,5066.0,2.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Rice,10664.0,4.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Sesamum,17.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Smallmillets,639.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Sugarcane,14615.0,6.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Sunflower,7.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Sweetpotato,12.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Tapioca,16.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Turmeric,402.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,Urad,176.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Kharif,otheroilseeds,19.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Bajra,1.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Coriander,41.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Cotton(lint),79.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Cowpea(Lobia),160.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Drychillies,1956.0,2.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Groundnut,12523.0,13.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Horsegram,18302.0,18.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Jowar,11.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Maize,974.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Moong(GreenGram),204.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Oilseedstotal,13954.0,14.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Onion,187.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,OtherRabipulses,227.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Potato,948.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Ragi,902.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Rice,43855.0,44.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Sesamum,985.0,1.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Smallmillets,5.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Sunflower,446.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Sweetpotato,102.0,0.0
2019-20,Andhra Pradesh,CHITTOOR,Rabi,Urad,3263.0,3.0
2019-20,Andhra Pradesh,CHITTOOR,Whole Year,Banana,2384.0,50.0
2019-20,Andhra Pradesh,CHITTOOR,Whole Year,Coconut,2360.0,50.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Arecanut,120.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Arhar/Tur,615.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Bajra,5.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Cashewnut,33394.0,10.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Cotton(lint),12896.0,4.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Cowpea(Lobia),10.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Drychillies,348.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Groundnut,9.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Horsegram,2.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Jowar,81.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Maize,728.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Moong(GreenGram),168.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Oilseedstotal,17876.0,6.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Ragi,139.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Rice,221042.0,68.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Sesamum,139.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Smallmillets,137.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Sugarcane,8134.0,3.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Sweetpotato,2.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Tapioca,6809.0,2.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Tobacco,631.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Turmeric,324.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,Urad,3101.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Kharif,otheroilseeds,17728.0,5.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Arhar/Tur,63.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Coriander,29.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Cowpea(Lobia),19.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Drychillies,2218.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Gram,1964.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Groundnut,142.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Horsegram,24.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Jowar,1260.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Maize,9407.0,5.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Moong(GreenGram),8914.0,4.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Oilseedstotal,2239.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Onion,125.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Rice,166544.0,80.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Sesamum,1917.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Sunflower,180.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Sweetpotato,15.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Tapioca,8.0,0.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Tobacco,2021.0,1.0
2019-20,Andhra Pradesh,EAST GODAVARI,Rabi,Urad,11190.0,5.0
2019-20,Andhra Pradesh,EAST GODAVARI,Whole Year,Banana,15769.0,24.0
2019-20,Andhra Pradesh,EAST GODAVARI,Whole Year,Coconut,50535.0,76.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Arhar/Tur,18004.0,4.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Bajra,18.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Castorseed,156.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Cotton(lint),182408.0,36.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Drychillies,76197.0,15.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Groundnut,390.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Maize,674.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Moong(GreenGram),313.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Oilseedstotal,1124.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Onion,405.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Rice,220272.0,43.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Sannhamp,1918.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Sesamum,571.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Smallmillets,66.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Sugarcane,120.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Tobacco,2490.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Turmeric,4806.0,1.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,Urad,1845.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Kharif,otheroilseeds,7.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Arhar/Tur,2064.0,1.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Bajra,25.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Castorseed,67.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Coriander,6.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Cotton(lint),11.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Drychillies,470.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Gram,16735.0,9.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Groundnut,2821.0,1.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Horsegram,5.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Jowar,40280.0,21.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Maize,47426.0,24.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Moong(GreenGram),21775.0,11.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Oilseedstotal,3105.0,2.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Ragi,1175.0,1.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Rapeseed&Mustard,64.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Rice,26430.0,13.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Sesamum,144.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Smallmillets,95.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Sunflower,9.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Sweetpotato,2.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Tobacco,2510.0,1.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Urad,31058.0,16.0
2019-20,Andhra Pradesh,GUNTUR,Rabi,Wheat,1.0,0.0
2019-20,Andhra Pradesh,GUNTUR,Whole Year,Banana,4996.0,98.0
2019-20,Andhra Pradesh,GUNTUR,Whole Year,Coconut,97.0,2.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Arhar/Tur,4187.0,5.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Bajra,1081.0,1.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Castorseed,698.0,1.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Cotton(lint),13410.0,16.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Cowpea(Lobia),304.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Drychillies,719.0,1.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Ginger,1.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Groundnut,8332.0,10.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Horsegram,450.0,1.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Jowar,4632.0,5.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Linseed,124.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Maize,219.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Moong(GreenGram),70.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Oilseedstotal,9317.0,11.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Onion,1381.0,2.0
2019-20,Andhra Pradesh,KADAPA,Kharif,OtherKharifpulses,2.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Rice,32647.0,39.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Sesamum,29.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Smallmillets,936.0,1.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Sugarcane,182.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Sunflower,100.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Sweetpotato,1.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Tobacco,98.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Turmeric,5703.0,7.0
2019-20,Andhra Pradesh,KADAPA,Kharif,Urad,91.0,0.0
2019-20,Andhra Pradesh,KADAPA,Kharif,otheroilseeds,34.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Arhar/Tur,186.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Bajra,3400.0,2.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Castorseed,65.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Coriander,148.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Cotton(lint),1132.0,1.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Cowpea(Lobia),252.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Drychillies,10.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Gram,90675.0,49.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Groundnut,13495.0,7.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Horsegram,3655.0,2.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Jowar,14575.0,8.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Maize,2125.0,1.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Moong(GreenGram),2836.0,2.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Oilseedstotal,25380.0,14.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Onion,1084.0,1.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Potato,2.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Ragi,57.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Rice,9162.0,5.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Safflower,117.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Sesamum,7691.0,4.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Smallmillets,343.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Sunflower,4012.0,2.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Sweetpotato,32.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Tobacco,4.0,0.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Urad,3573.0,2.0
2019-20,Andhra Pradesh,KADAPA,Rabi,Wheat,1.0,0.0
2019-20,Andhra Pradesh,KADAPA,Whole Year,Banana,25887.0,100.0
2019-20,Andhra Pradesh,KADAPA,Whole Year,Coconut,113.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Arhar/Tur,1013.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Cashewnut,81.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Cotton(lint),48423.0,14.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Cowpea(Lobia),4.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Drychillies,12943.0,4.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Groundnut,870.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Jowar,28.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Maize,3981.0,1.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Moong(GreenGram),2039.0,1.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Oilseedstotal,12472.0,4.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Rice,243863.0,69.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Sugarcane,8996.0,3.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Turmeric,2845.0,1.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,Urad,2089.0,1.0
2019-20,Andhra Pradesh,KRISHNA,Kharif,otheroilseeds,11602.0,3.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Arhar/Tur,6.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Cowpea(Lobia),14.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Drychillies,663.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Gram,3805.0,2.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Groundnut,622.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Horsegram,370.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Jowar,395.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Maize,21676.0,9.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Moong(GreenGram),3970.0,2.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Oilseedstotal,1321.0,1.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Rapeseed&Mustard,178.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Rice,71173.0,31.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Sesamum,506.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Sunflower,15.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Sweetpotato,5.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Tobacco,1152.0,0.0
2019-20,Andhra Pradesh,KRISHNA,Rabi,Urad,125703.0,54.0
2019-20,Andhra Pradesh,KRISHNA,Whole Year,Banana,4771.0,72.0
2019-20,Andhra Pradesh,KRISHNA,Whole Year,Coconut,1820.0,28.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Arhar/Tur,67627.0,9.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Bajra,6529.0,1.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Castorseed,16864.0,2.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Cotton(lint),274620.0,38.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Drychillies,14772.0,2.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Groundnut,79542.0,11.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Jowar,7961.0,1.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Maize,30737.0,4.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Moong(GreenGram),858.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Oilseedstotal,98176.0,14.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Onion,19404.0,3.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Rice,82759.0,12.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Sesamum,4.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Smallmillets,7292.0,1.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Soyabean,1340.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Sugarcane,345.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Sunflower,426.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Sweetpotato,4.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Tobacco,85.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Turmeric,3234.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Kharif,Urad,3834.0,1.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Arhar/Tur,3363.0,1.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Bajra,820.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Castorseed,183.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Coriander,388.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Cowpea(Lobia),6.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Drychillies,205.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Gram,155952.0,48.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Groundnut,15531.0,5.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Horsegram,63.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Jowar,47460.0,14.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Maize,14029.0,4.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Moong(GreenGram),798.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Oilseedstotal,18712.0,6.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Onion,9062.0,3.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Rapeseed&Mustard,1616.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Rice,38714.0,12.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Safflower,87.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Sesamum,1013.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Smallmillets,1113.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Soyabean,23.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Sunflower,259.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Tobacco,3189.0,1.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Urad,15473.0,5.0
2019-20,Andhra Pradesh,KURNOOL,Rabi,Wheat,25.0,0.0
2019-20,Andhra Pradesh,KURNOOL,Whole Year,Banana,3970.0,100.0
